ID;Genre;Senior;Enfants;Anciennete;Multi-lignes;Service Internet;Autres Services;Contrat;Facturation electronique;Partenaire;Mode de paiement;charges mensuelles;Charges totales;Desabonnement
1603;Homme;0;Non;30;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;90,25;2755,35;
1619;Femme;1;Non;23;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;94,75;2293,6;
1639;Femme;0;Oui;68;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Carte bancaire;84,4;5746,75;
1643;Femme;0;Non;29;Non;Non;Oui;Mensuel;Non;Oui;Cheque papier;19,85;573,05;
1649;Homme;1;Oui;60;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;80,95;4859,1;
1651;Femme;0;Non;1;Oui;Fibre optique;Oui;Mensuel;Non;Non;Cheque papier;85,8;85,8;
1663;Homme;0;Non;5;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;69,75;324,6;
1667;Femme;0;Non;8;Non;Non;Oui;Bisannuel;Non;Non;Cheque papier;20,25;174,65;
1675;Femme;0;Oui;23;Oui;Non;Oui;Bisannuel;Non;Oui;Cheque papier;25,1;611,45;
1677;Femme;0;Non;4;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;80,15;319,85;
1678;Homme;0;Oui;6;Oui;Non;Oui;Bisannuel;Non;Oui;Cheque papier;25,4;153,3;
1681;Homme;0;Oui;56;Oui;Non;Oui;Annuel;Oui;Oui;Cheque papier;24,45;1431,65;
1693;Homme;0;Oui;39;Non;DSL;Non;Annuel;Oui;Oui;Carte bancaire;25,25;947,75;
1694;Homme;0;Non;72;Oui;Fibre optique;Oui;Bisannuel;Non;Oui;Carte bancaire;114,45;8375,05;
1706;Femme;1;Non;55;Oui;Fibre optique;Oui;Mensuel;Non;Oui;Cheque electronique;90,45;5044,8;
1709;Homme;0;Non;4;Non;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;74,4;299,7;
1741;Homme;0;Oui;40;Non;Non;Oui;Mensuel;Oui;Oui;Virement bancaire;20,4;745,3;
1744;Homme;0;Non;67;Oui;Non;Oui;Bisannuel;Non;Oui;Carte bancaire;24,85;1583,5;
1749;Femme;0;Non;54;Non;Non;Oui;Bisannuel;Non;Oui;Carte bancaire;20,05;1102,4;
1764;Femme;0;Non;2;Non;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;45,4;80,95;
1765;Homme;0;Oui;63;Oui;DSL;Oui;Bisannuel;Non;Oui;Cheque papier;75,7;4676,7;
1766;Femme;0;Non;58;Oui;Fibre optique;Oui;Annuel;Oui;Oui;Carte bancaire;110,65;6526,65;
1779;Homme;0;Oui;72;Oui;Non;Oui;Bisannuel;Non;Oui;Carte bancaire;24,75;1859,1;
1785;Femme;0;Non;4;Non;Non;Oui;Mensuel;Non;Non;Cheque papier;20,35;77,5;
1786;Homme;0;Oui;68;Oui;DSL;Oui;Bisannuel;Oui;Oui;Carte bancaire;92,2;6392,85;
1789;Femme;0;Non;57;Non;Non;Oui;Bisannuel;Oui;Oui;Virement bancaire;19,6;1134,25;
1801;Homme;0;Non;1;Non;DSL;Oui;Mensuel;Oui;Non;Virement bancaire;43,85;43,85;
1806;Homme;0;Oui;72;Oui;DSL;Oui;Bisannuel;Non;Oui;Carte bancaire;64,45;4720;
1815;Homme;0;Oui;12;Non;Non;Oui;Bisannuel;Non;Oui;Cheque papier;19,7;258,35;
1818;Homme;1;Non;72;Oui;Fibre optique;Oui;Bisannuel;Non;Oui;Virement bancaire;98,35;6929,4;
1823;Femme;0;Oui;31;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Carte bancaire;86,55;2697,4;
1831;Homme;0;Oui;32;Non;Non;Oui;Bisannuel;Non;Non;Cheque papier;20,5;696,8;
1833;Homme;1;Non;57;Non;DSL;Non;Mensuel;Oui;Oui;Cheque electronique;44,85;2572,95;
1840;Femme;0;Non;4;Oui;Non;Oui;Bisannuel;Oui;Non;Carte bancaire;25,3;116,95;
1845;Homme;0;Non;59;Non;DSL;Oui;Annuel;Non;Oui;Carte bancaire;66,4;3958,2;
1852;Femme;0;Non;2;Non;DSL;Non;Mensuel;Oui;Oui;Cheque electronique;35,1;68,75;
1855;Homme;1;Non;1;Non;DSL;Non;Mensuel;Oui;Non;Cheque electronique;43,3;43,3;
1862;Femme;0;Non;1;Non;DSL;Oui;Mensuel;Non;Non;Cheque papier;45,95;45,95;
1863;Femme;1;Non;52;Non;DSL;Non;Mensuel;Oui;Non;Cheque electronique;50,5;2566,3;
1864;Homme;0;Non;6;Oui;Non;Oui;Annuel;Non;Oui;Cheque papier;25,1;171;
1874;Femme;0;Oui;72;Non;DSL;Oui;Bisannuel;Oui;Oui;Carte bancaire;70,65;5011,15;
1879;Homme;0;Non;3;Non;Non;Oui;Mensuel;Oui;Non;Carte bancaire;20,75;67,1;
1890;Homme;0;Non;14;Non;DSL;Non;Mensuel;Oui;Non;Cheque papier;31,1;419,7;
1898;Homme;1;Non;30;Non;DSL;Oui;Mensuel;Oui;Oui;Virement bancaire;50,4;1527,5;
1903;Homme;0;Oui;72;Oui;DSL;Oui;Bisannuel;Oui;Oui;Carte bancaire;90,6;6441,85;
1905;Homme;0;Non;56;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;94,45;5124,6;
1926;Femme;0;Oui;59;Oui;DSL;Oui;Bisannuel;Oui;Oui;Virement bancaire;72,1;4194,85;
1933;Homme;0;Non;1;Non;Non;Oui;Mensuel;Non;Non;Cheque papier;20,2;20,2;
1940;Homme;0;Oui;1;Non;Non;Oui;Mensuel;Oui;Non;Cheque papier;21,05;21,05;
1944;Homme;0;Non;1;Oui;DSL;Oui;Mensuel;Oui;Non;Carte bancaire;49,8;49,8;
1951;Homme;0;Non;65;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;91,85;5940,85;
1957;Femme;0;Non;72;Oui;Fibre optique;Oui;Bisannuel;Oui;Non;Virement bancaire;101,3;7261,25;
1967;Homme;1;Non;24;Oui;DSL;Oui;Mensuel;Non;Non;Carte bancaire;54,8;1291,3;
1971;Femme;0;Non;7;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;81,1;576,65;
1974;Homme;0;Oui;72;Non;DSL;Oui;Bisannuel;Oui;Oui;Cheque electronique;80,8;5728,55;
1984;Homme;0;Non;27;Oui;DSL;Oui;Annuel;Non;Oui;Cheque papier;80,85;2204,35;
1985;Femme;0;Oui;14;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;90,9;1259;
1986;Femme;0;Oui;12;Non;DSL;Non;Mensuel;Non;Oui;Cheque papier;29,2;309,1;
1998;Femme;0;Oui;67;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Virement bancaire;105,65;6717,9;
2001;Femme;1;Non;9;Non;Fibre optique;Oui;Mensuel;Non;Non;Carte bancaire;75,5;637,4;
2002;Femme;0;Non;5;Non;Non;Oui;Mensuel;Non;Non;Cheque papier;20,15;117,95;
2006;Femme;0;Oui;49;Oui;Fibre optique;Oui;Annuel;Non;Oui;Cheque papier;100,45;4941,8;
2049;Homme;1;Non;21;Non;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;96,8;2030,3;
2050;Femme;0;Non;69;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;85,4;5869,4;
2054;Homme;0;Non;47;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;83,35;4065;
2058;Femme;0;Non;22;Oui;DSL;Oui;Mensuel;Oui;Oui;Cheque electronique;79,2;1742,75;
2060;Homme;0;Oui;37;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;92,95;3415,25;
2067;Homme;0;Oui;64;Oui;Non;Oui;Bisannuel;Oui;Oui;Cheque papier;24,8;1514,85;
2080;Homme;0;Oui;70;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;106,05;7554,05;
2090;Femme;0;Non;50;Non;DSL;Non;Bisannuel;Non;Non;Carte bancaire;39,7;1932,75;
2105;Femme;0;Non;8;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Carte bancaire;85,2;627,4;
2111;Femme;0;Non;3;Non;Non;Oui;Mensuel;Non;Non;Cheque electronique;20,2;65,95;
2125;Homme;0;Non;5;Non;DSL;Non;Mensuel;Oui;Oui;Cheque electronique;24,95;100,4;
2126;Femme;0;Oui;67;Oui;DSL;Oui;Bisannuel;Oui;Oui;Cheque electronique;75,5;5229,45;
2128;Homme;0;Non;40;Non;DSL;Non;Annuel;Oui;Oui;Cheque electronique;42,35;1716,45;
2139;Femme;0;Oui;54;Non;DSL;Oui;Bisannuel;Non;Oui;Virement bancaire;69,95;3871,85;
2142;Homme;0;Oui;16;Non;Non;Oui;Mensuel;Non;Oui;Cheque electronique;20,15;341,35;
2148;Homme;0;Non;18;Non;Non;Oui;Mensuel;Non;Non;Cheque electronique;19;348,8;
2162;Femme;0;Non;2;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;75,8;160,75;
2163;Homme;0;Non;28;Oui;Fibre optique;Oui;Mensuel;Non;Oui;Carte bancaire;96,6;2684,35;
2167;Femme;1;Non;59;Oui;Fibre optique;Oui;Annuel;Oui;Oui;Cheque electronique;94,05;5483,9;
2168;Homme;1;Non;13;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;95,25;1233,65;
2197;Femme;0;Oui;19;Non;Non;Oui;Mensuel;Non;Oui;Cheque papier;20,2;382,2;
2199;Femme;0;Oui;17;Oui;DSL;Oui;Annuel;Oui;Oui;Cheque papier;61,95;1070,7;
2211;Femme;0;Non;69;Oui;Fibre optique;Oui;Bisannuel;Non;Non;Cheque electronique;104;7028,5;
2213;Homme;0;Non;10;Non;Non;Oui;Annuel;Non;Non;Cheque papier;19,5;225,85;
2214;Femme;0;Oui;12;Oui;Non;Oui;Bisannuel;Non;Oui;Carte bancaire;25,25;274,7;
2220;Homme;1;Non;20;Non;Fibre optique;Oui;Mensuel;Non;Non;Cheque electronique;89,95;1648,45;
2223;Homme;0;Oui;38;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Carte bancaire;101,15;3956,7;
2225;Homme;1;Non;17;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;76,45;1233,4;
2227;Femme;0;Oui;23;Non;DSL;Non;Bisannuel;Non;Oui;Cheque papier;34,6;813,45;
2234;Homme;0;Non;54;Non;DSL;Oui;Mensuel;Oui;Non;Cheque papier;69,9;3883,3;
2242;Femme;0;Oui;56;Oui;Non;Oui;Bisannuel;Oui;Oui;Carte bancaire;24,95;1468,9;
2249;Homme;0;Oui;30;Oui;DSL;Oui;Mensuel;Oui;Oui;Virement bancaire;54,45;1588,7;
2253;Femme;0;Oui;64;Non;Non;Oui;Annuel;Non;Oui;Virement bancaire;19,8;1336,65;
2256;Femme;0;Oui;1;Non;DSL;Oui;Mensuel;Non;Non;Cheque papier;51,2;51,2;
2262;Femme;0;Non;49;Oui;DSL;Oui;Mensuel;Oui;Oui;Carte bancaire;52,15;2583,75;
2266;Homme;0;Non;12;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque papier;112,95;1384,75;
2275;Homme;0;Oui;23;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;99,85;2331,3;
2292;Femme;0;Non;4;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;85,65;321,65;
2316;Homme;0;Oui;35;Oui;DSL;Oui;Annuel;Oui;Oui;Virement bancaire;73,45;2661,1;
2322;Femme;1;Non;65;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;95,45;6223,3;
2353;Homme;0;Non;8;Non;Non;Oui;Mensuel;Oui;Non;Virement bancaire;19,7;168,9;
2360;Homme;0;Non;33;Oui;DSL;Oui;Mensuel;Oui;Oui;Virement bancaire;72,75;2447,45;
2361;Homme;0;Oui;62;Non;Non;Oui;Bisannuel;Non;Oui;Carte bancaire;20,05;1263,9;
2363;Homme;0;Oui;49;Non;DSL;Non;Mensuel;Oui;Oui;Cheque electronique;39,2;1838,15;
2364;Homme;0;Non;1;Non;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;44,75;44,75;
2367;Femme;1;Non;1;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;70,15;70,15;
2378;Homme;0;Oui;47;Non;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;55,3;2654,05;
2392;Homme;0;Non;8;Oui;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;59,25;436,6;
2393;Homme;0;Non;20;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Carte bancaire;90,7;1781,35;
2409;Femme;0;Oui;45;Non;Non;Oui;Bisannuel;Non;Oui;Cheque papier;20,85;892,15;
2417;Homme;0;Non;27;Oui;Fibre optique;Oui;Annuel;Oui;Non;Virement bancaire;100,5;2673,45;
2420;Femme;0;Non;11;Non;DSL;Oui;Annuel;Non;Non;Virement bancaire;53,8;651,55;
2422;Homme;0;Non;68;Non;DSL;Non;Mensuel;Oui;Non;Virement bancaire;39,9;2796,35;
2427;Femme;0;Non;17;Non;DSL;Non;Mensuel;Oui;Oui;Carte bancaire;35,65;646,05;
2432;Homme;1;Non;2;Non;DSL;Non;Mensuel;Oui;Non;Cheque papier;24,45;47,5;
2436;Femme;0;Oui;14;Non;DSL;Oui;Mensuel;Oui;Non;Carte bancaire;59,8;824,85;
2437;Femme;1;Non;31;Non;Fibre optique;Oui;Mensuel;Oui;Non;Carte bancaire;73,55;2094,65;
2466;Homme;0;Non;1;Non;DSL;Non;Mensuel;Oui;Non;Virement bancaire;35,25;35,25;
2468;Homme;0;Oui;49;Oui;Fibre optique;Oui;Annuel;Oui;Oui;Cheque electronique;97,95;4917,9;
2475;Femme;0;Non;47;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;106,35;4849,1;
2476;Femme;0;Non;53;Non;Fibre optique;Oui;Bisannuel;Non;Non;Cheque papier;99,5;5424,25;
2489;Homme;0;Non;31;Non;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;55,25;1715,65;
2494;Femme;0;Non;6;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;90,75;512,25;
2497;Homme;0;Non;18;Non;Non;Oui;Bisannuel;Non;Non;Carte bancaire;20,05;388,6;
2499;Homme;0;Non;27;Non;DSL;Oui;Mensuel;Oui;Oui;Cheque electronique;53,8;1389,85;
2500;Homme;0;Oui;41;Non;DSL;Oui;Annuel;Non;Non;Cheque papier;70,2;2894,55;
2504;Homme;0;Oui;44;Non;Non;Oui;Annuel;Non;Oui;Virement bancaire;20,6;926;
2508;Homme;0;Non;71;Oui;Non;Oui;Bisannuel;Oui;Oui;Cheque electronique;24,5;1816,2;
2523;Homme;0;Oui;53;Oui;DSL;Oui;Annuel;Oui;Oui;Cheque papier;78,75;3942,45;
2544;Homme;0;Non;13;Oui;Fibre optique;Oui;Mensuel;Non;Non;Cheque papier;98,15;1230,25;
2568;Homme;0;Non;60;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;95,75;5742,9;
2571;Homme;0;Non;30;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Carte bancaire;94,05;2866,45;
2572;Femme;0;Oui;42;Non;Fibre optique;Oui;Bisannuel;Oui;Oui;Cheque electronique;100,4;4303,65;
2577;Femme;0;Oui;53;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Virement bancaire;108,25;5935,1;
2579;Femme;1;Oui;31;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;98,9;2911,3;
2593;Femme;0;Non;12;Non;Non;Oui;Mensuel;Non;Non;Cheque papier;19,45;246,25;
2611;Femme;0;Oui;39;Non;DSL;Non;Mensuel;Non;Non;Carte bancaire;30,1;1131,3;
2613;Femme;0;Oui;14;Oui;DSL;Oui;Mensuel;Non;Oui;Carte bancaire;80,45;1137,05;
2627;Femme;0;Non;60;Non;DSL;Non;Annuel;Non;Oui;Cheque electronique;50,05;2911,5;
2641;Homme;0;Non;22;Non;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;94,95;2142,8;
2646;Femme;0;Non;1;Non;Non;Oui;Mensuel;Non;Non;Carte bancaire;19,8;19,8;
2650;Femme;0;Non;64;Oui;Non;Oui;Bisannuel;Non;Oui;Carte bancaire;25;1584,8;
2653;Homme;0;Non;1;Non;DSL;Oui;Mensuel;Non;Non;Cheque papier;55,55;55,55;
2656;Femme;0;Oui;4;Oui;Fibre optique;Oui;Mensuel;Non;Non;Cheque papier;89,6;365,65;
2657;Femme;0;Non;39;Non;DSL;Oui;Annuel;Non;Non;Cheque electronique;59,3;2209,15;
2666;Homme;1;Non;33;Non;Fibre optique;Oui;Annuel;Oui;Oui;Cheque electronique;93,55;3055,5;
2675;Femme;1;Non;4;Non;Non;Oui;Mensuel;Non;Non;Cheque papier;20,05;91,45;
2685;Homme;0;Non;69;Oui;Fibre optique;Oui;Annuel;Oui;Non;Virement bancaire;105,2;7386,05;
2693;Femme;0;Non;22;Non;DSL;Oui;Mensuel;Oui;Non;Cheque electronique;49,8;1049,05;
2710;Homme;1;Non;41;Non;DSL;Non;Mensuel;Oui;Oui;Cheque electronique;53,95;2215,4;
2717;Femme;0;Non;19;Non;DSL;Oui;Mensuel;Non;Oui;Cheque papier;44,9;839,65;
2726;Femme;0;Non;2;Non;DSL;Non;Mensuel;Non;Non;Cheque electronique;24,5;46,4;
2733;Femme;0;Oui;4;Non;Non;Oui;Mensuel;Non;Non;Carte bancaire;20,4;94,5;
2734;Femme;0;Non;1;Non;DSL;Oui;Mensuel;Oui;Oui;Cheque papier;55,3;55,3;
2753;Homme;0;Oui;31;Non;DSL;Non;Mensuel;Non;Oui;Virement bancaire;35,4;1077,5;
2770;Femme;0;Non;15;Non;Non;Oui;Mensuel;Non;Non;Virement bancaire;19,75;297,3;
2771;Homme;0;Oui;17;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;92,55;1515,1;
2772;Femme;0;Oui;13;Non;DSL;Oui;Mensuel;Oui;Oui;Cheque papier;63,15;816,8;
2779;Femme;0;Non;13;Non;Fibre optique;Oui;Annuel;Oui;Non;Cheque papier;74,65;966,25;
2791;Femme;0;Non;50;Oui;Fibre optique;Oui;Bisannuel;Oui;Non;Cheque electronique;109,65;5551,15;
2793;Femme;0;Non;15;Non;DSL;Oui;Mensuel;Non;Non;Cheque electronique;48,85;736,8;
2795;Femme;0;Non;28;Non;DSL;Oui;Mensuel;Non;Non;Cheque electronique;56,05;1522,65;
2829;Homme;0;Non;1;Non;Non;Oui;Bisannuel;Non;Non;Cheque papier;20,45;20,45;
2838;Femme;0;Non;1;Non;Non;Oui;Mensuel;Non;Non;Cheque papier;20,5;20,5;
2845;Femme;1;Non;4;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;99,6;347,65;
2866;Femme;0;Oui;66;Oui;Fibre optique;Oui;Bisannuel;Non;Oui;Virement bancaire;109,25;7082,5;
2867;Femme;0;Non;12;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;84,6;1017,35;
2882;Femme;0;Non;31;Non;DSL;Oui;Annuel;Oui;Oui;Cheque electronique;64;1910,75;
2885;Femme;1;Oui;72;Oui;DSL;Oui;Bisannuel;Oui;Oui;Virement bancaire;90,15;6716,45;
2886;Homme;1;Non;67;Oui;Fibre optique;Oui;Bisannuel;Oui;Non;Carte bancaire;116,1;7839,85;
2891;Femme;1;Oui;47;Non;Fibre optique;Oui;Mensuel;Non;Oui;Virement bancaire;70,55;3309,25;
2892;Femme;0;Non;1;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;79,7;79,7;
2911;Femme;0;Oui;35;Oui;Non;Oui;Bisannuel;Oui;Oui;Carte bancaire;25,4;949,8;
2920;Homme;0;Non;49;Non;DSL;Non;Bisannuel;Non;Oui;Carte bancaire;49,65;2409,9;
2926;Femme;0;Oui;50;Non;Fibre optique;Oui;Annuel;Non;Oui;Cheque papier;103,05;5153,5;
2941;Homme;1;Non;53;Non;DSL;Non;Mensuel;Oui;Non;Cheque electronique;54,45;2854,55;
2951;Homme;0;Non;4;Non;Non;Oui;Mensuel;Oui;Non;Cheque electronique;20,2;55,7;
2956;Homme;0;Non;7;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;93,85;635,6;
2958;Femme;0;Non;4;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque papier;80,3;324,2;
2960;Homme;0;Oui;27;Oui;Fibre optique;Oui;Mensuel;Non;Oui;Cheque electronique;100,75;2793,55;
2963;Femme;0;Oui;3;Non;DSL;Non;Mensuel;Oui;Oui;Cheque papier;31;95,05;
2965;Homme;0;Non;24;Oui;DSL;Oui;Annuel;Oui;Oui;Cheque electronique;58,35;1346,9;
2970;Femme;0;Oui;65;Oui;Fibre optique;Oui;Bisannuel;Non;Oui;Cheque electronique;109,3;7337,55;
2973;Homme;0;Oui;72;Non;DSL;Non;Bisannuel;Oui;Oui;Carte bancaire;65,25;4478,85;
2983;Homme;0;Oui;52;Non;Non;Oui;Annuel;Oui;Oui;Carte bancaire;20,85;1071,6;
2987;Femme;0;Oui;55;Non;Fibre optique;Oui;Bisannuel;Oui;Oui;Carte bancaire;69,05;3842,6;
3001;Homme;0;Non;12;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;84,45;1059,55;
3007;Homme;1;Non;14;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;74,95;1036,75;
3009;Femme;0;Non;11;Non;Non;Oui;Annuel;Non;Non;Cheque papier;20;211,95;
3013;Homme;0;Oui;54;Oui;DSL;Oui;Bisannuel;Oui;Oui;Carte bancaire;65,65;3566,7;
3018;Femme;0;Oui;18;Non;DSL;Oui;Annuel;Oui;Oui;Cheque papier;61,5;1087,45;
3053;Homme;0;Non;37;Oui;DSL;Oui;Mensuel;Oui;Oui;Cheque papier;55,05;2030,75;
3056;Homme;0;Oui;49;Oui;Fibre optique;Oui;Mensuel;Non;Non;Carte bancaire;75,2;3678,3;
3059;Femme;0;Oui;17;Oui;DSL;Oui;Annuel;Oui;Non;Cheque papier;55,85;937,5;
3064;Femme;0;Non;37;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;100,05;3810,55;
3077;Femme;0;Non;6;Non;DSL;Oui;Mensuel;Non;Non;Cheque electronique;56,25;389,1;
3083;Homme;0;Non;51;Oui;DSL;Oui;Annuel;Non;Non;Carte bancaire;59,9;3043,6;
3088;Femme;0;Non;8;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;87,05;762,1;
3092;Femme;0;Non;4;Non;Non;Oui;Annuel;Non;Oui;Virement bancaire;20,5;79,05;
3101;Femme;0;Non;55;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Carte bancaire;94,45;5073,1;
3105;Homme;1;Non;9;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;74,05;678,45;
3113;Homme;0;Non;72;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Virement bancaire;100,55;7325,1;
3114;Homme;0;Non;36;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;95,4;3474,2;
3116;Femme;0;Non;13;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;84,45;1058,6;
3117;Femme;1;Non;44;Non;Fibre optique;Oui;Annuel;Non;Non;Carte bancaire;89,15;3990,75;
3119;Homme;0;Non;44;Non;Non;Oui;Annuel;Non;Non;Carte bancaire;19,5;835,5;
3122;Femme;1;Non;16;Non;DSL;Oui;Mensuel;Non;Non;Cheque electronique;59,4;1023,9;
3124;Homme;0;Non;16;Non;Fibre optique;Oui;Mensuel;Oui;Non;Carte bancaire;69,95;1205,5;
3127;Femme;0;Oui;26;Non;DSL;Non;Mensuel;Non;Oui;Carte bancaire;38,85;1025,15;
3136;Femme;1;Non;38;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;99,55;3734,25;
3138;Femme;0;Oui;41;Oui;Fibre optique;Oui;Annuel;Oui;Oui;Virement bancaire;109,1;4454,25;
3144;Homme;0;Oui;13;Oui;DSL;Oui;Mensuel;Oui;Oui;Cheque electronique;72,8;930,05;
3147;Femme;0;Oui;5;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque papier;99,15;465,05;
3151;Homme;0;Non;17;Non;DSL;Non;Mensuel;Oui;Non;Cheque papier;25,65;440,2;
3155;Femme;1;Non;4;Non;Fibre optique;Oui;Mensuel;Non;Non;Cheque electronique;72,75;317,75;
3163;Homme;0;Non;19;Oui;DSL;Oui;Mensuel;Non;Non;Cheque papier;69,6;1394,55;
3164;Homme;1;Non;39;Oui;Fibre optique;Oui;Mensuel;Non;Non;Cheque electronique;90,7;3413,25;
3184;Homme;1;Non;3;Non;DSL;Non;Mensuel;Oui;Oui;Cheque papier;36,45;93,7;
3188;Homme;0;Oui;34;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;89,85;3091,75;
3195;Femme;1;Non;43;Non;DSL;Non;Mensuel;Non;Oui;Carte bancaire;55,55;2342,2;
3210;Femme;0;Non;1;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;93,85;93,85;
3213;Homme;0;Non;40;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;80;3168,75;
3214;Femme;0;Oui;41;Non;DSL;Non;Annuel;Non;Oui;Carte bancaire;35,4;1412,4;
3223;Homme;0;Non;2;Non;DSL;Oui;Mensuel;Non;Non;Virement bancaire;44,9;111,05;
3231;Homme;0;Oui;63;Non;Non;Oui;Bisannuel;Non;Oui;Cheque papier;19,55;1245,6;
3232;Femme;0;Non;15;Non;DSL;Oui;Mensuel;Non;Non;Cheque papier;84,45;1287,85;
3241;Femme;0;Non;54;Oui;Fibre optique;Oui;Annuel;Non;Oui;Virement bancaire;106,55;5763,3;
3243;Homme;0;Oui;5;Non;Non;Oui;Bisannuel;Non;Non;Cheque papier;20,45;106,9;
3250;Femme;0;Oui;10;Non;DSL;Oui;Mensuel;Oui;Oui;Cheque papier;55,55;551,3;
3254;Femme;0;Oui;36;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Carte bancaire;104,5;3684,95;
3259;Homme;0;Non;1;Non;DSL;Non;Mensuel;Oui;Non;Cheque electronique;24,4;24,4;
3263;Femme;0;Oui;34;Oui;Fibre optique;Oui;Mensuel;Non;Oui;Cheque electronique;87,45;2874,15;
3267;Femme;0;Oui;72;Non;Non;Oui;Bisannuel;Non;Oui;Virement bancaire;20,1;1460,85;
3271;Femme;0;Non;4;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque papier;100,85;399,25;
3277;Femme;0;Non;4;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;79,15;317,25;
3280;Homme;0;Oui;23;Non;DSL;Oui;Annuel;Non;Oui;Carte bancaire;57,2;1423,35;
3281;Homme;0;Non;55;Non;DSL;Oui;Bisannuel;Non;Oui;Cheque electronique;58,6;3068,6;
3290;Femme;0;Oui;41;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;88,5;3645,05;
3295;Femme;0;Oui;1;Non;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque papier;69,1;69,1;
3305;Homme;1;Non;69;Oui;Fibre optique;Oui;Bisannuel;Oui;Oui;Cheque electronique;109,95;7634,25;
3312;Femme;0;Non;48;Non;DSL;Non;Mensuel;Oui;Non;Cheque electronique;44,8;2104,55;
